Posting Date,Transaction Date,Amount,Credit Debit Indicator,type,Type Group,Reference,Instructed Currency,Currency Exchange Rate,Instructed Amount,Description,Category,Check Serial Number,Card Ending
07/10/2025,07/09/2025,10.35,Debit,POS,POS,,,,,DEBIT-DC 7898 COCINA CHOPOLLOS L PORTLAND OR,Restaurants/Dining,,
07/10/2025,07/09/2025,9.78,Debit,POS,POS,,,,,DEBIT-DC 7898 NEW CASCADIA TRADI PORTLAND OR,Other Expenses,,
07/10/2025,07/08/2025,5.75,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
07/10/2025,07/09/2025,3.69,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/09/2025,07/07/2025,17.96,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
07/09/2025,07/08/2025,12.07,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/09/2025,07/07/2025,10.00,Debit,POS,POS,,,,,Portland State University Parking,Travel,,
07/09/2025,07/08/2025,8.49,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/09/2025,07/07/2025,2.99,Debit,POS,POS,,,,,Shell,Gasoline/Fuel,,
07/08/2025,07/08/2025,156.73,Debit,ACH Debit,ACH Debit,,,,,Payment to Allstate,Insurance,2100002,
07/08/2025,07/07/2025,16.43,Debit,POS,POS,,,,,Whole Foods Market,Groceries,,
07/08/2025,07/07/2025,8.08,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/08/2025,07/07/2025,3.09,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/08/2025,07/06/2025,2.99,Debit,POS,POS,,,,,Shell,Gasoline/Fuel,,
07/07/2025,07/05/2025,45.95,Debit,POS,POS,,,,,Powell's Books,Hobbies,,
07/07/2025,07/06/2025,45.20,Debit,POS,POS,,,,,Trader Joe's,Groceries,,
07/07/2025,07/04/2025,29.62,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
07/07/2025,07/06/2025,26.25,Debit,POS,POS,,,,,DEBIT-DC 7898 NEW CASCADIA TRADI PORTLAND OR,Other Expenses,,
07/07/2025,07/03/2025,25.02,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND US,Other Expenses,,
07/07/2025,07/05/2025,20.70,Debit,POS,POS,,,,,DEBIT-DC 7898 SQ *FUEGO HAPPY VALLEY OR,Restaurants/Dining,,
07/07/2025,07/04/2025,19.59,Debit,POS,POS,,,,,Belmont Station,Groceries,,
07/07/2025,07/03/2025,16.76,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
07/07/2025,07/03/2025,14.72,Debit,POS,POS,,,,,Whole Foods Market,Groceries,,
07/07/2025,07/05/2025,13.75,Debit,POS,POS,,,,,DEBIT-DC 7898 SQ *KYRA'S BAKE SH LAKE OSWEGO OR,Restaurants/Dining,,
07/07/2025,07/03/2025,12.07,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/07/2025,07/05/2025,10.00,Debit,POS,POS,,,,,Sweets,Groceries,,
07/07/2025,07/06/2025,7.99,Debit,POS,POS,,,,,Netflix,Entertainment,,
07/07/2025,07/04/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
07/07/2025,07/05/2025,4.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
07/03/2025,07/01/2025,56.94,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
07/03/2025,07/01/2025,31.31,Debit,POS,POS,,,,,H Mart,Groceries,,
07/03/2025,07/01/2025,15.97,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
07/03/2025,07/02/2025,8.99,Debit,POS,POS,,,,,Petco,Pets/Pet Care,,
07/03/2025,07/01/2025,5.75,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
07/03/2025,07/02/2025,3.09,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/02/2025,07/02/2025,1530.99,Debit,ACH Debit,ACH Debit,,,,,- Pl*anchornwprope Web Pmts XX2468,Rent,11192468,
07/02/2025,07/02/2025,100.00,Debit,ACH Debit,ACH Debit,,,,,Payment to Chase,Credit Card Payments,2100002,
07/02/2025,07/02/2025,87.41,Debit,ACH Debit,ACH Debit,,,,,Payment to Portland General Electric,Utilities,9100001,
07/02/2025,07/01/2025,15.36,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/02/2025,07/01/2025,11.99,Debit,POS,POS,,,,,Spotify,Entertainment,,
07/02/2025,06/30/2025,11.21,Debit,POS,POS,,,,,Blue Star,Restaurants/Dining,,
07/02/2025,06/30/2025,6.00,Debit,POS,POS,,,,,Portland State University Parking,Travel,,
07/02/2025,06/30/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
07/02/2025,07/01/2025,3.09,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
07/01/2025,06/29/2025,17.68,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
07/01/2025,06/30/2025,15.50,Debit,POS,POS,,,,,DEBIT-DC 7898 RIGOBERTOS TACO SH MILWAUKIE OR,Restaurants/Dining,,
07/01/2025,06/29/2025,11.68,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
06/30/2025,06/30/2025,0.06,Credit,Credit,Credit,,,,,Dividend,Investment Income,,
06/30/2025,06/28/2025,50.64,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*PUBLIC COAST B CANNON BEACH OR,Restaurants/Dining,,
06/30/2025,06/28/2025,32.50,Debit,POS,POS,,,,,DEBIT-DC 7898 MOTHERS BISTRO BA PORTLAND OR,Restaurants/Dining,,
06/30/2025,06/27/2025,31.27,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND US,Other Expenses,,
06/30/2025,06/29/2025,20.17,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/30/2025,06/29/2025,17.48,Debit,POS,POS,,,,,Petco,Pets/Pet Care,,
06/30/2025,06/29/2025,8.28,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/30/2025,06/27/2025,8.08,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/30/2025,06/27/2025,5.75,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/30/2025,06/28/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/30/2025,06/26/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/30/2025,06/29/2025,3.09,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/30/2025,06/27/2025,2.99,Debit,POS,POS,,,,,Apple,Electronics,,
06/27/2025,06/26/2025,15.78,Debit,POS,POS,,,,,Whole Foods Market,Groceries,,
06/27/2025,06/26/2025,7.98,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/27/2025,06/27/2025,7.90,Debit,POS,POS,,,,,DEBIT-DC 7898 LS MEAT FOR CATS A XX6971 OR,Groceries,,
06/27/2025,06/25/2025,6.00,Debit,POS,POS,,,,,Portland State University Parking,Travel,,
06/27/2025,06/27/2025,2044.89,Credit,ACH Credit,ACH Credit,,,,,Department Of Veteran Affairs Deposit,Deposits,11103600,
06/27/2025,06/27/2025,775.18,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from U.s. Dept. Of Veterans Affairs,Paychecks/Salary,11173693,
06/27/2025,06/27/2025,632.80,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from U.s. Dept. Of Veterans Affairs,Paychecks/Salary,11173693,
06/26/2025,06/26/2025,15.06,Debit,ACH Debit,ACH Debit,,,,,Payment to Allstate,Insurance,2100002,
06/26/2025,06/25/2025,24.25,Debit,POS,POS,,,,,DEBIT-DC 7898 NEW CASCADIA TRADI PORTLAND OR,Other Expenses,,
06/26/2025,06/24/2025,21.75,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
06/26/2025,06/25/2025,20.11,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND US,Other Expenses,,
06/26/2025,06/25/2025,6.08,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/26/2025,06/25/2025,3.09,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/25/2025,06/25/2025,14.75,Credit,Credit,Credit,,,,,ATM Rebate,Refunds/Adjustments,,
06/25/2025,06/24/2025,49.99,Debit,POS,POS,,,,,Sony PlayStation Network,Entertainment,,
06/25/2025,06/23/2025,11.20,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/25/2025,06/23/2025,10.00,Debit,POS,POS,,,,,Portland State University Parking,Travel,,
06/25/2025,06/24/2025,10.00,Debit,POS,POS,,,,,DEBIT-DC 7898 TLF*FLOWERS BY DON TIGARD OR,Gifts,,
06/25/2025,06/24/2025,8.27,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/24/2025,06/23/2025,20.95,Debit,POS,POS,,,,,Seasweets Poke,Restaurants/Dining,,
06/24/2025,06/23/2025,2.99,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/24/2025,06/24/2025,284.93,Credit,Deposit,Deposit,,,,,Real Time Deposit: VENMO,Transfers,,
06/23/2025,06/23/2025,85.00,Debit,ACH Debit,ACH Debit,,,,,Payment to xfinity,Cable/Satellite Services,2100002,
06/23/2025,06/21/2025,25.03,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND US,Other Expenses,,
06/23/2025,06/21/2025,15.60,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*MISSISSIPPI ST PORTLAND OR,Restaurants/Dining,,
06/23/2025,06/21/2025,13.31,Debit,POS,POS,,,,,Lyft,Travel,,
06/23/2025,06/20/2025,12.26,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/23/2025,06/21/2025,12.00,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*MISSISSIPPI ST PORTLAND OR,Restaurants/Dining,,
06/23/2025,06/21/2025,11.68,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
06/23/2025,06/21/2025,10.00,Debit,POS,POS,,,,,DEBIT-DC 7898 GROUND BREAKER BRE PORTLAND OR,Restaurants/Dining,,
06/23/2025,06/21/2025,9.00,Debit,POS,POS,,,,,Crema Coffee,Restaurants/Dining,,
06/23/2025,06/21/2025,8.26,Debit,POS,POS,,,,,Loyal Legion,Restaurants/Dining,,
06/23/2025,06/20/2025,8.00,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*MISSISSIPPI ST PORTLAND OR,Restaurants/Dining,,
06/23/2025,06/20/2025,5.75,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/23/2025,06/21/2025,3.39,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/23/2025,06/20/2025,1.39,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/20/2025,06/18/2025,20.00,Debit,POS,POS,,,,,DEBIT-DC 7898 SCENIC ADVENTURES BRIDAL VEIL OR,Clothing/Shoes,,
06/20/2025,06/19/2025,7.47,Debit,POS,POS,,,,,Petco,Pets/Pet Care,,
06/20/2025,06/17/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/20/2025,06/18/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/20/2025,06/18/2025,5.18,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*MULTNOMAH FALL BRIDAL VEIL OR,Clothing/Shoes,,
06/20/2025,06/19/2025,4.99,Debit,POS,POS,,,,,Sony PlayStation Network,Entertainment,,
06/20/2025,06/17/2025,3.39,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
06/18/2025,06/17/2025,31.12,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/18/2025,06/17/2025,23.90,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND US,Other Expenses,,
06/18/2025,06/17/2025,17.80,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/18/2025,06/17/2025,14.00,Debit,POS,POS,,,,,Washman Usa,Other Expenses,,
06/18/2025,06/17/2025,10.50,Debit,POS,POS,,,,,DEBIT-DC 7898 NEW CASCADIA TRADI PORTLAND OR,Other Expenses,,
06/18/2025,06/17/2025,8.27,Debit,POS,POS,,,,,DEBIT-DC 7898 ROCKET 5459 PORTLAND OR,Other Expenses,,
06/17/2025,06/16/2025,111.08,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/17/2025,06/17/2025,80.00,Debit,POS,POS,,,,,Transfer to Amber,Transfers,,
06/17/2025,06/16/2025,46.36,Debit,POS,POS,,,,,McMenamins,Restaurants/Dining,,
06/17/2025,06/16/2025,39.99,Debit,POS,POS,,,,,O'Reilly Auto Parts,Automotive Expenses,,
06/17/2025,06/17/2025,36.92,Debit,POS,POS,,,,,Lyft,Travel,,
06/17/2025,06/16/2025,29.00,Debit,POS,POS,,,,,Five Star Food Mart,Restaurants/Dining,,
06/17/2025,06/16/2025,15.40,Debit,POS,POS,,,,,DEBIT-DC 7898 SQ *KYRA'S BAKE SH LAKE OSWEGO OR,Restaurants/Dining,,
06/17/2025,06/16/2025,10.00,Debit,POS,POS,,,,,DEBIT-DC 7898 RIGOBERTOS TACO SH MILWAUKIE OR,Restaurants/Dining,,
06/17/2025,06/16/2025,6.50,Debit,POS,POS,,,,,Crema Coffee,Restaurants/Dining,,
06/17/2025,06/15/2025,5.82,Debit,POS,POS,,,,,DEBIT-DC 7898 DNC BOISE AIRPORT BOISE ID,Online Services,,
06/17/2025,06/16/2025,3.99,Debit,POS,POS,,,,,DEBIT-DC 7898 VENDING MACHINE PETALUMA CA,Groceries,,
06/17/2025,06/17/2025,200.00,Credit,ACH Credit,ACH Credit,,,,,Deposit Ump Ext Transfer External F,Deposits,12320505,
06/16/2025,06/14/2025,256.25,Debit,POS,POS,,,,,The Knot,Entertainment,,
06/16/2025,06/13/2025,13.34,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*TIN ROOF TACOS BOISE ID,Restaurants/Dining,,
06/16/2025,06/13/2025,9.68,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*THE FLYING PIC MERIDIAN ID,Restaurants/Dining,,
06/16/2025,06/14/2025,9.00,Debit,POS,POS,,,,,DEBIT-DC 7898 SQ *SALTY HEIFER C BOISE ID,Restaurants/Dining,,
06/16/2025,06/14/2025,7.31,Debit,POS,POS,,,,,Loving,Online Services,,
06/16/2025,06/12/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/16/2025,06/13/2025,4.23,Debit,POS,POS,,,,,Albertsons,Groceries,,
06/13/2025,06/11/2025,44.40,Debit,POS,POS,,,,,DEBIT-DC 7898 SQ *PAADEE PORTLAND OR,Other Expenses,,
06/13/2025,06/12/2025,19.99,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/13/2025,06/12/2025,13.85,Debit,POS,POS,,,,,DEBIT-DC XX 76 - CF UNITED APR PORTLAND OR,Travel,,
06/13/2025,06/12/2025,12.00,Debit,POS,POS,,,,,DEBIT-DC 7898 RIGOBERTOS TACO SH MILWAUKIE OR,Restaurants/Dining,,
06/13/2025,06/11/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/12/2025,06/10/2025,7.56,Debit,POS,POS,,,,,Fat Straw LLC,Restaurants/Dining,,
06/12/2025,06/10/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/11/2025,06/09/2025,35.00,Debit,POS,POS,,,,,Sport Clips,Personal Care,,
06/11/2025,06/10/2025,31.03,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/11/2025,06/09/2025,25.89,Debit,POS,POS,,,,,Jersey Mike's Subs,Restaurants/Dining,,
06/11/2025,06/10/2025,20.00,Debit,POS,POS,,,,,ARCO,Gasoline/Fuel,,
06/11/2025,06/09/2025,12.99,Debit,POS,POS,,,,,Goodwill,Charitable Giving,,
06/11/2025,06/10/2025,6.54,Debit,POS,POS,,,,,ARCO,Gasoline/Fuel,,
06/11/2025,06/09/2025,6.00,Debit,POS,POS,,,,,Payment to New York Times,Dues and Subscriptions,,
06/11/2025,06/09/2025,5.75,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/11/2025,06/09/2025,5.20,Debit,POS,POS,,,,,DEBIT-DC XX 76 - CF UNITED APR PORTLAND OR,Travel,,
06/10/2025,06/09/2025,19.47,Debit,POS,POS,,,,,Shake Shack,Restaurants/Dining,,
06/10/2025,06/09/2025,15.76,Debit,POS,POS,,,,,Petco,Pets/Pet Care,,
06/10/2025,06/09/2025,4.58,Debit,POS,POS,,,,,DEBIT-DC XX 76 - CF UNITED APR PORTLAND OR,Travel,,
06/10/2025,06/10/2025,250.00,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from U.s. Dept. Of Veterans Affairs,Paychecks/Salary,11173693,
06/09/2025,06/06/2025,31.20,Debit,POS,POS,,,,,Revolution,Restaurants/Dining,,
06/09/2025,06/06/2025,24.66,Debit,POS,POS,,,,,DEBIT-DC 7898 TST*FIRE ON THE MO PORTLAND OR,Restaurants/Dining,,
06/09/2025,06/05/2025,20.00,Debit,POS,POS,,,,,Chevron,Gasoline/Fuel,,
06/09/2025,06/07/2025,19.32,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/09/2025,06/07/2025,14.39,Debit,POS,POS,,,,,Belmont Station,Groceries,,
06/09/2025,06/08/2025,10.00,Debit,POS,POS,,,,,Draftkings,Entertainment,,
06/09/2025,06/05/2025,9.08,Debit,POS,POS,,,,,Chevron,Gasoline/Fuel,,
06/09/2025,06/06/2025,7.99,Debit,POS,POS,,,,,Netflix,Entertainment,,
06/09/2025,06/06/2025,7.68,Debit,POS,POS,,,,,DEBIT-DC XX 76 - CF UNITED APR PORTLAND OR,Travel,,
06/09/2025,06/07/2025,5.75,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/09/2025,06/05/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/09/2025,06/05/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/09/2025,06/07/2025,5.39,Debit,POS,POS,,,,,Shell,Gasoline/Fuel,,
06/09/2025,06/08/2025,5.00,Debit,POS,POS,,,,,Draftkings,Entertainment,,
06/09/2025,06/06/2025,42.50,Debit,ATM,ATM,,,,,ATM Withdrawal Plus Mongoose Portland OR US,ATM/Cash Withdrawals,,
06/09/2025,06/06/2025,1.00,Debit,Debit,Debit,,,,,ATM Fee - Withdrawal,Service Charges/Fees,,
06/06/2025,06/04/2025,7.43,Debit,POS,POS,,,,,THE TEA HOUSE,Restaurants/Dining,,
06/05/2025,06/05/2025,156.73,Debit,ACH Debit,ACH Debit,,,,,Payment to Allstate,Insurance,2100002,
06/05/2025,06/05/2025,163.05,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -4587,Transfers,,
06/05/2025,06/03/2025,18.47,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
06/05/2025,06/04/2025,11.40,Debit,POS,POS,,,,,Chipotle Mexican Grill,Restaurants/Dining,,
06/05/2025,06/04/2025,4.99,Debit,POS,POS,,,,,DEBIT-DC XX 76 - CF UNITED APR PORTLAND OR,Travel,,
06/04/2025,06/02/2025,16.76,Debit,POS,POS,,,,,Burgerville,Restaurants/Dining,,
06/04/2025,06/03/2025,15.50,Debit,POS,POS,,,,,DEBIT-DC 7898 RIGOBERTOS TACO SH MILWAUKIE OR,Restaurants/Dining,,
06/04/2025,06/02/2025,9.30,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/04/2025,06/03/2025,8.08,Debit,POS,POS,,,,,DEBIT-DC XX 76 - CF UNITED APR PORTLAND OR,Travel,,
06/04/2025,06/03/2025,6.50,Debit,POS,POS,,,,,Crema Coffee,Restaurants/Dining,,
06/04/2025,06/02/2025,4.58,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/03/2025,06/03/2025,1530.99,Debit,ACH Debit,ACH Debit,,,,,- Pl*anchornwprope Web Pmts XX2468,Rent,11192468,
06/03/2025,06/03/2025,74.70,Debit,ACH Debit,ACH Debit,,,,,Payment to Portland General Electric,Utilities,9100001,
06/03/2025,06/02/2025,20.00,Debit,POS,POS,,,,,Apro,Gasoline/Fuel,,
06/03/2025,06/03/2025,10.00,Debit,POS,POS,,,,,Draftkings,Entertainment,,
06/03/2025,06/01/2025,7.56,Debit,POS,POS,,,,,Fat Straw LLC,Restaurants/Dining,,
06/03/2025,06/02/2025,22.75,Debit,ATM,ATM,,,,,ATM Withdrawal Plus Gw Belmont Portland OR US,ATM/Cash Withdrawals,,
06/03/2025,06/02/2025,1.00,Debit,Debit,Debit,,,,,ATM Fee - Withdrawal,Service Charges/Fees,,
06/02/2025,06/02/2025,100.00,Debit,ACH Debit,ACH Debit,,,,,Payment to Chase,Credit Card Payments,2100002,
06/02/2025,06/01/2025,30.53,Debit,POS,POS,,,,,AXS.com,Entertainment,,
06/02/2025,05/31/2025,26.75,Debit,POS,POS,,,,,DEBIT-DC 7898 RIGOBERTOS TACO SH MILWAUKIE OR,Restaurants/Dining,,
06/02/2025,05/30/2025,24.48,Debit,POS,POS,,,,,Belmont Station,Groceries,,
06/02/2025,06/01/2025,18.23,Debit,POS,POS,,,,,Fred Meyer,General Merchandise,,
06/02/2025,05/30/2025,16.16,Debit,POS,POS,,,,,Franks A Lot,Restaurants/Dining,,
06/02/2025,06/02/2025,11.99,Debit,POS,POS,,,,,Spotify,Entertainment,,
06/02/2025,05/31/2025,11.99,Debit,POS,POS,,,,,Norton AntiVirus,Online Services,,
06/02/2025,05/30/2025,10.78,Debit,POS,POS,,,,,Shell,Gasoline/Fuel,,
06/02/2025,06/01/2025,9.96,Debit,POS,POS,,,,,Petco,Pets/Pet Care,,
06/02/2025,05/31/2025,5.45,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
06/02/2025,06/01/2025,4.50,Debit,POS,POS,,,,,Crema Coffee,Restaurants/Dining,,
05/30/2025,05/30/2025,0.06,Credit,Credit,Credit,,,,,Dividend,Investment Income,,
05/30/2025,05/29/2025,17.00,Debit,POS,POS,,,,,DEBIT-DC 7898 RIGOBERTOS TACO SH MILWAUKIE OR,Restaurants/Dining,,
05/30/2025,05/29/2025,5.75,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,
05/30/2025,05/29/2025,3.09,Debit,POS,POS,,,,,Plaid Pantry,Groceries,,
05/30/2025,05/29/2025,22.75,Debit,ATM,ATM,,,,,ATM Withdrawal Plus Gw Belmont Portland OR US,ATM/Cash Withdrawals,,
05/30/2025,05/29/2025,1.00,Debit,Debit,Debit,,,,,ATM Fee - Withdrawal,Service Charges/Fees,,
05/29/2025,05/28/2025,27.49,Debit,POS,POS,,,,,CVS Pharmacy,Healthcare/Medical,,
05/29/2025,05/28/2025,20.04,Debit,POS,POS,,,,,Apro,Gasoline/Fuel,,
05/29/2025,05/28/2025,14.55,Debit,POS,POS,,,,,Chipotle Mexican Grill,Restaurants/Dining,,
05/29/2025,05/28/2025,4.58,Debit,POS,POS,,,,,DEBIT-DC XX 76 - CF UNITED APR PORTLAND OR,Travel,,
05/29/2025,05/28/2025,4.50,Debit,POS,POS,,,,,Crema Coffee,Restaurants/Dining,,
05/29/2025,05/29/2025,1661.10,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from U.s. Dept. Of Veterans Affairs,Paychecks/Salary,11173693,
05/28/2025,05/28/2025,15.06,Debit,ACH Debit,ACH Debit,,,,,Payment to Allstate,Insurance,2100002,
05/28/2025,05/27/2025,16.32,Debit,POS,POS,,,,,Whole Foods Market,Groceries,,
05/28/2025,05/27/2025,15.97,Debit,POS,POS,,,,,Shake Shack,Restaurants/Dining,,
